run, generation, best_fitness, average_fitness, worst_fitness
0, 0, 697, 455, 373
0, 1, 697, 515, 432
0, 2, 697, 570, 481
0, 3, 697, 649, 502
0, 4, 697, 691, 675
0, 5, 697, 697, 697
0, 6, 697, 697, 697
0, 7, 697, 697, 697
0, 8, 697, 697, 697
0, 9, 697, 697, 697
0, 10, 697, 697, 697
0, 11, 697, 697, 697
0, 12, 697, 697, 697
0, 13, 697, 697, 697
0, 14, 697, 697, 697
0, 15, 697, 697, 697
0, 16, 697, 697, 697
0, 17, 697, 697, 697
0, 18, 697, 697, 697
0, 19, 697, 697, 697
0, 20, 697, 697, 697
1, 0, 697, 505, 393
1, 1, 697, 594, 482
1, 2, 697, 683, 659
1, 3, 697, 692, 679
1, 4, 697, 697, 697
1, 5, 697, 697, 697
1, 6, 697, 697, 697
1, 7, 697, 697, 697
1, 8, 697, 697, 697
1, 9, 697, 697, 697
1, 10, 697, 697, 697
1, 11, 697, 697, 697
1, 12, 697, 697, 697
1, 13, 697, 697, 697
1, 14, 697, 697, 697
1, 15, 697, 697, 697
1, 16, 697, 697, 697
1, 17, 697, 697, 697
1, 18, 697, 697, 697
1, 19, 697, 697, 697
1, 20, 697, 697, 697
